Entity,Year,Prevalence,Population,GDP,Employment
Australia,1990,18.69276897210991,17065.1,17824.9,45.1
Australia,1991,18.70303666294613,17284.0,18165.3,44.2
Australia,1992,18.70723986594005,17478.6,19136.1,43.6
Australia,1993,18.70673446338289,17634.8,20162.4,44.6
Australia,1994,18.69588489642135,17805.5,21397.6,45.9
Australia,1995,18.68783058053554,18004.9,22405.6,46.1
Australia,1996,18.63209861180565,18224.8,23268.4,45.7
Australia,1997,18.52242275920365,18423.0,24442.2,46.0
Australia,1998,18.40686583321902,18607.6,25671.6,46.3
Australia,1999,18.32781899397739,18812.3,27121.3,47.1
Australia,2000,18.32251720636425,19028.8,28304.6,47.3
Australia,2001,18.44712647157251,19274.7,29561.4,47.4
Australia,2002,18.68995962182585,19495.2,30800.4,48.1
Australia,2003,18.96608915832132,19720.7,32352.9,48.3
Australia,2004,19.20550544142387,19932.7,33962.0,49.4
Australia,2005,19.32192865456372,20176.8,35642.3,50.0
Australia,2006,19.33652367122582,20451.0,37893.9,50.9
Australia,2007,19.33635930963517,20827.6,39658.3,51.3
Australia,2008,19.32798091128679,21249.2,40105.1,50.8
Australia,2009,19.30817917947452,21691.7,41636.6,50.5
Australia,2010,19.29116595095266,22031.8,42810.0,50.8
Australia,2011,19.25274013068823,22340.0,44429.5,51.0
Australia,2012,19.19034628205202,22733.5,43883.5,50.5
Australia,2013,19.11716171078027,23128.1,47761.8,50.0
Australia,2014,19.04866076731275,23475.7,47603.9,50.2
Australia,2015,19.01232760508897,23816.0,47232.6,50.4
Australia,2016,18.97665826149301,24190.9,50150.6,50.7
Australia,2017,18.96159235184795,24601.9,50699.3,51.1
Austria,1995,15.9713587920008,7948.3,23684.7,45.1
Austria,1996,15.94500912905973,7959.0,24553.9,45.2
Austria,1997,15.900503082676378,7968.0,25426.7,45.5
Austria,1998,15.84563001362261,7976.8,26675.1,45.9
Austria,1999,15.79446314018918,7992.3,27606.5,46.5
Austria,2000,15.75734705839133,8011.6,29376.0,46.9
Austria,2001,15.734339981790068,8042.3,29702.8,47.0
Austria,2002,15.7161065753399,8082.0,31178.7,46.8
Austria,2003,15.69919205376498,8121.4,32144.2,46.8
Austria,2004,15.68387169978166,8172.0,33773.8,46.8
Austria,2005,15.67152569682877,8227.8,35013.7,47.1
Austria,2006,15.66054248247848,8268.6,37662.2,47.7
Austria,2007,15.65592114339282,8295.5,39430.6,48.4
Austria,2008,15.65331075627274,8321.5,41316.2,49.1
Austria,2009,15.65627971985263,8343.3,40918.1,48.8
Austria,2010,15.658216114626718,8363.4,42009.4,49.0
Austria,2011,15.67044491733752,8391.6,44452.7,49.6
Austria,2012,15.6875148030548,8430.0,46457.3,49.9
Austria,2013,15.71268920369346,8479.8,47922.0,49.8
Austria,2014,15.731147891559468,8546.4,48799.7,49.8
Austria,2015,15.744869355640231,8642.7,49865.9,49.6
Austria,2016,15.766658364190253,8736.7,52684.0,49.7
Austria,2017,15.78937209057142,8797.6,54173.0,50.2
Austria,2018,15.80062018119572,8840.5,56960.1,50.8
Austria,2019,15.81647796167553,8879.9,58076.3,51.1
Belgium,1995,14.69984954344416,10136.8,22434.7,38.2
Belgium,1996,14.69374310636394,10156.6,22738.4,38.2
Belgium,1997,14.67698736921339,10181.2,23732.3,38.4
Belgium,1998,14.65833283701706,10203.0,24368.9,38.9
Belgium,1999,14.650776926382589,10226.4,25440.9,39.4
Belgium,2000,14.66264775066202,10251.3,27784.5,40.1
Belgium,2001,14.68543563832968,10286.6,28788.1,40.5
Belgium,2002,14.71449524715888,10332.8,30282.3,40.4
Belgium,2003,14.739855678870988,10376.1,30932.8,40.2
Belgium,2004,14.76735320743968,10421.1,32063.1,40.4
Belgium,2005,14.79375106378485,10478.6,33177.9,40.8
Belgium,2006,14.831216497507372,10548.0,35259.2,41.0
Belgium,2007,14.88531960054598,10625.7,36791.2,41.3
Belgium,2008,14.942290740448971,10710.0,37883.3,41.8
Belgium,2009,14.990877372341572,10796.5,37749.5,41.3
Belgium,2010,15.01577647646108,10895.6,39840.1,41.2
Belgium,2011,15.023500908353702,11038.3,40942.4,41.2
Belgium,2012,15.0218927405984,11106.9,42290.8,41.2
Belgium,2013,15.0204902966791,11159.4,43671.1,40.9
Belgium,2014,15.01876277226841,11209.1,44929.7,40.8
Belgium,2015,15.01568911774433,11274.2,46200.9,41.0
Belgium,2016,15.00787237125864,11331.4,48597.4,41.3
Belgium,2017,15.00137868542655,11375.2,50442.3,41.7
Belgium,2018,14.98676208847509,11427.1,52535.2,42.2
Belgium,2019,14.964608019943071,11489.0,54278.4,42.6
Canada,1997,14.46184684645342,29905.9,25258.9,46.9
Canada,1998,14.19367124363234,30155.2,26319.7,47.6
Canada,1999,13.9675130033215,30401.3,27841.4,48.4
Canada,2000,13.8663924990748,30685.7,29362.1,49.1
Canada,2001,13.85323065080484,31020.9,30230.8,49.0
Canada,2002,13.83437112519183,31360.1,30963.1,49.7
Canada,2003,13.80795921946642,31644.0,32349.9,50.3
Canada,2004,13.78329399805073,31940.7,33925.7,50.7
Canada,2005,13.759704292869,32243.8,36327.2,50.9
Canada,2006,13.84030747828609,32571.2,38119.4,51.2
Canada,2007,14.07141734643598,32889.0,39575.3,51.8
Canada,2008,14.35639863088112,33247.1,40376.3,52.0
Canada,2009,14.60202366977772,33628.9,38865.4,50.5
Canada,2010,14.71620589543865,34004.9,40099.4,50.9
Canada,2011,14.75120910880486,34339.3,41666.7,51.2
Canada,2012,14.80822609187653,34714.2,42291.0,51.2
Canada,2013,14.87444703138044,35083.0,44298.6,51.3
Canada,2014,14.93005541491442,35437.4,45753.8,51.1
Canada,2015,14.95642437327214,35702.9,44670.1,51.1
Canada,2016,14.95352105662239,36109.5,46472.3,51.1
Canada,2017,14.95610293601228,36545.2,48317.2,51.5
Canada,2018,14.95313317879026,37065.1,49992.8,51.4
Canada,2019,14.95356296501985,37601.2,49299.2,51.7
Chile,2010,15.44653747338498,17063.9,18160.3,41.8
Chile,2011,15.4403957832664,17254.2,20318.3,43.4
Chile,2012,15.41840602204852,17443.5,21454.5,43.7
Chile,2013,15.393165395017942,17611.9,22387.8,44.2
Chile,2014,15.36739203731108,17787.6,22749.9,44.4
Chile,2015,15.355107027864127,17971.4,22695.9,44.7
Chile,2016,15.34714563671033,18167.1,23491.7,44.7
Chile,2017,15.3323504381229,18419.2,24538.8,44.9
Chile,2018,15.28861147629031,18751.4,25683.6,44.7
Chile,2019,15.202829708389787,19107.2,25189.2,44.5
Colombia,2015,11.34494251597796,48203.4,12947.6,45.7
Colombia,2016,11.66759383087869,48747.7,13649.8,45.5
Colombia,2017,11.99675794670596,49291.6,14061.6,45.4
Colombia,2018,12.02654514623203,49834.2,14991.8,45.1
Colombia,2019,12.04643042516959,50374.5,15662.2,44.2
Costa Rica,1990,12.54905845902048,3029.3,5232.5,34.1
Costa Rica,1991,12.54872765851418,3101.5,5553.9,33.2
Costa Rica,1992,12.55055832119286,3170.5,6070.0,33.8
Costa Rica,1993,12.55538685381858,3239.9,6515.9,35.0
Costa Rica,1994,12.55942089731867,3334.2,6759.6,35.6
Costa Rica,1995,12.567875733318502,3428.3,6991.9,35.7
Costa Rica,1996,12.58064793244953,3520.9,7015.1,34.5
Costa Rica,1997,12.596181993068509,3611.2,7343.3,36.3
Costa Rica,1998,12.61543547504358,3699.9,7751.9,37.7
Costa Rica,1999,12.6390743132967,3786.8,7980.5,37.3
Costa Rica,2000,12.655934629254707,3872.3,8285.6,37.3
Costa Rica,2001,12.676339429051,3953.4,8580.3,38.6
Costa Rica,2002,12.7031372037353,4022.4,8853.1,38.5
Costa Rica,2003,12.73246926285182,4086.4,9253.4,39.1
Costa Rica,2004,12.75482578557935,4151.8,9758.4,38.9
Costa Rica,2005,12.77262991144735,4215.2,10296.9,40.9
Costa Rica,2006,12.78589145609224,4278.7,11211.7,41.4
Costa Rica,2007,12.805452579171453,4340.4,12279.4,43.1
Costa Rica,2008,12.82676866756404,4404.1,12922.5,43.0
Costa Rica,2009,12.84626497527669,4469.3,12704.3,41.6
Costa Rica,2010,12.8612201455996,4533.9,13355.7,40.5
Costa Rica,2011,12.88061831784828,4592.1,14060.5,39.2
Costa Rica,2012,12.90857714023913,4652.5,14846.7,42.0
Costa Rica,2013,12.93947860984539,4713.2,15533.1,42.0
Costa Rica,2014,12.96701026088162,4773.1,16607.4,42.3
Costa Rica,2015,12.9834350207279,4832.2,17639.9,41.5
Costa Rica,2016,12.998771171243858,4890.4,19109.9,39.9
Costa Rica,2017,13.00157568131658,4947.5,20357.2,40.6
Costa Rica,2018,13.005540891382438,5003.4,21302.2,41.6
Costa Rica,2019,13.009186307377298,5058.0,22585.7,42.2
Czechia,1995,11.59461236969489,10327.3,13852.1,49.4
Czechia,1996,11.57564641830302,10315.2,14685.7,49.8
Czechia,1997,11.542356069296709,10304.1,14824.7,49.5
Czechia,1998,11.49874637496843,10294.4,14977.7,48.6
Czechia,1999,11.458478541015127,10283.9,15396.3,47.6
Czechia,2000,11.42508280680465,10255.1,16235.5,47.4
Czechia,2001,11.4027807907147,10216.6,17621.1,47.4
Czechia,2002,11.381499803851671,10196.9,18252.6,47.8
Czechia,2003,11.36467261204392,10194.0,19538.1,47.5
Czechia,2004,11.343920386832307,10197.1,20932.1,47.4
Czechia,2005,11.3278981003581,10211.2,22095.4,48.2
Czechia,2006,11.308373992512449,10238.9,23923.7,48.7
Czechia,2007,11.28747118478688,10298.8,26282.4,49.5
Czechia,2008,11.26547401557089,10384.6,27974.5,50.1
Czechia,2009,11.24742464181322,10443.9,27761.5,48.9
Czechia,2010,11.23534919648173,10474.4,27882.0,48.3
Czechia,2011,11.2231707409877,10496.1,29001.4,48.1
Czechia,2012,11.21058305001986,10510.8,29254.7,48.2
Czechia,2013,11.19689863850117,10514.3,30818.1,48.3
Czechia,2014,11.18571550783872,10525.3,32502.5,48.5
Czechia,2015,11.17610817893399,10546.1,33899.3,49.1
Czechia,2016,11.16503229198212,10566.3,36097.7,49.8
Czechia,2017,11.151733699014809,10594.4,38824.9,50.5
Czechia,2018,11.14384072981683,10629.9,41135.5,51.0
Czechia,2019,11.1397787524548,10671.9,42847.0,50.9
Denmark,1990,14.8448850851467,5140.9,18233.9,51.2
Denmark,1991,14.81659472920558,5154.3,19063.7,50.6
Denmark,1992,14.78154623095284,5171.4,19814.1,50.0
Denmark,1993,14.74552835905972,5188.6,20218.5,49.0
Denmark,1994,14.70331868878992,5206.2,21678.1,49.9
Denmark,1995,14.6626067151217,5233.4,22684.3,49.9
Denmark,1996,14.60872849441154,5263.1,23734.8,50.1
Denmark,1997,14.53417976658121,5285.0,24928.4,50.6
Denmark,1998,14.45593317342009,5304.2,25814.1,51.1
Denmark,1999,14.37482700073825,5321.8,26653.8,51.4
Denmark,2000,14.314777299665622,5339.6,28658.1,51.6
Denmark,2001,14.265963151604192,5358.8,29437.3,51.9
Denmark,2002,14.22034762087615,5375.9,30640.3,51.8
Denmark,2003,14.174585318706573,5390.6,30820.4,51.2
Denmark,2004,14.13772139524512,5404.5,32938.7,50.8
Denmark,2005,14.10941177138004,5419.4,34150.2,51.4
Denmark,2006,14.09830564106119,5437.3,37334.4,52.3
Denmark,2007,14.10810918968427,5461.4,39006.2,53.3
Denmark,2008,14.128454025909228,5493.6,41278.3,53.6
Denmark,2009,14.15268803111179,5523.1,40331.4,51.7
Denmark,2010,14.16180242143559,5547.7,43003.1,50.3
Denmark,2011,14.16892005994672,5570.6,44403.4,50.0
Denmark,2012,14.17976695867678,5591.6,44804.0,49.5
Denmark,2013,14.19524456309234,5614.9,46726.9,49.3
Denmark,2014,14.20964244862101,5643.5,47901.4,49.5
Denmark,2015,14.215689379142022,5683.5,49045.3,49.8
Denmark,2016,14.20625575626099,5728.0,51976.0,50.2
Denmark,2017,14.19404274768067,5765.0,55356.7,50.7
Denmark,2018,14.16134555620892,5793.6,57483.0,51.1
Denmark,2019,14.09613885123937,5814.4,58701.0,51.6
Estonia,1995,13.181730275581192,1436.6,6477.1,44.7
Estonia,1996,13.183354011814467,1415.6,6889.9,44.1
Estonia,1997,13.18967592819802,1399.5,7979.4,44.0
Estonia,1998,13.19570416747154,1386.2,8449.9,43.5
Estonia,1999,13.18849751105553,1390.2,8412.2,42.5
Estonia,2000,13.17087578854978,1397.0,9421.8,41.9
Estonia,2001,13.120828086661987,1388.1,10314.2,42.3
Estonia,2002,13.03229867597257,1379.4,11663.9,43.0
Estonia,2003,12.9274835192814,1370.7,13131.9,43.5
Estonia,2004,12.820458214889069,1362.6,14535.7,44.3
Estonia,2005,12.72805036068402,1354.8,16634.5,45.6
Estonia,2006,12.65284553897654,1346.8,19345.3,47.0
Estonia,2007,12.57566202339272,1340.7,22195.2,47.9
Estonia,2008,12.50335929546928,1337.1,22802.3,46.4
Estonia,2009,12.43738731854909,1334.5,20477.9,44.1
Estonia,2010,12.38816188176118,1331.5,21619.5,42.8
Estonia,2011,12.34377398477802,1327.4,24557.2,43.3
Estonia,2012,12.30301386218092,1322.7,25996.0,44.8
Estonia,2013,12.26713000758942,1318.0,27464.5,45.5
Estonia,2014,12.23710892160669,1314.5,28945.5,46.4
Estonia,2015,12.21549156593201,1315.4,29175.9,47.0
Estonia,2016,12.19832224836608,1315.8,31312.8,47.9
Estonia,2017,12.18195394646984,1317.4,33821.9,48.5
Estonia,2018,12.18310333718865,1322.0,36249.4,49.1
Estonia,2019,12.194628755419613,1326.9,37850.1,48.8
Finland,1990,16.27654464817957,4986.4,18136.4,49.5
Finland,1991,16.00997742257127,5013.7,17549.9,46.5
Finland,1992,15.775214310863287,5042.0,17261.2,43.2
Finland,1993,15.58033699479828,5066.4,17468.7,40.5
Finland,1994,15.436730130801598,5088.3,18469.0,39.6
Finland,1995,15.35395365677201,5107.8,19576.6,40.3
Finland,1996,15.32599184189091,5124.6,20082.3,40.9
Finland,1997,15.32300553396648,5139.8,21794.5,42.1
Finland,1998,15.33613558642238,5153.5,23576.9,42.8
Finland,1999,15.34546067194733,5165.5,24767.3,43.6
Finland,2000,15.34172306980135,5176.2,26784.7,44.4
Finland,2001,15.2858463799926,5188.0,27795.7,45.0
Finland,2002,15.178661486090538,5200.6,28605.1,45.5
Finland,2003,15.05245185762214,5213.0,29051.5,45.5
Finland,2004,14.94440667556311,5228.2,31201.7,45.6
Finland,2005,14.89395493760283,5246.1,32051.8,46.1
Finland,2006,14.93096733354701,5266.3,34455.1,46.8
Finland,2007,15.026315111420413,5288.7,37838.3,47.6
Finland,2008,15.14636078766257,5313.4,40083.7,48.5
Finland,2009,15.24527141793604,5338.9,37972.3,47.0
Finland,2010,15.28034795423731,5363.4,38956.5,46.5
Finland,2011,15.24587686965402,5388.3,40916.8,47.0
Finland,2012,15.17467291180199,5414.0,40873.1,47.2
Finland,2013,15.0897458327628,5439.0,41493.1,46.6
Finland,2014,15.01872918259716,5461.5,41757.4,46.2
Finland,2015,14.98095161480428,5479.5,42497.7,46.1
Finland,2016,14.928202210838329,5495.3,44934.4,46.1
Finland,2017,14.8764639194901,5508.2,47570.1,46.5
Finland,2018,14.904112599027531,5515.5,49580.6,47.6
Finland,2019,14.96401730443336,5521.6,50321.5,48.4
France,1990,16.977795604247937,58171.4,17661.6,41.7
France,1991,16.91298261782341,58459.1,18359.4,41.6
France,1992,16.864251728070258,58745.4,18985.2,41.1
France,1993,16.83376069693985,58995.1,19231.3,40.5
France,1994,16.81642634247757,59209.7,20032.3,40.6
France,1995,16.81187977073554,59418.7,20809.8,40.9
France,1996,16.85213563626286,59624.3,21399.0,41.0
France,1997,16.94647330275424,59830.6,22293.6,41.2
France,1998,17.06222884408793,60046.7,23413.7,41.8
France,1999,17.16328802730095,60351.8,24365.9,42.6
France,2000,17.2151967515317,60762.2,26155.2,43.3
France,2001,17.22574136960731,61201.7,27560.0,43.7
France,2002,17.21666437806283,61644.1,28598.5,43.6
France,2003,17.19453666998086,62078.2,28248.4,43.3
France,2004,17.17470848559739,62532.6,29140.5,43.0
France,2005,17.15750149388133,63001.3,30584.8,43.0
France,2006,17.11103649842051,63437.4,32562.7,43.2
France,2007,17.02408199213527,63826.1,34223.0,43.6
France,2008,16.923180413032902,64178.7,35202.6,43.5
France,2009,16.834417464544043,64504.5,34786.9,42.8
France,2010,16.78829287646037,64818.8,36018.5,42.7
France,2011,16.76626045401662,65127.9,37564.2,42.8
France,2012,16.72828235609786,65438.7,37806.5,42.7
France,2013,16.68764502823954,65771.3,39660.5,42.6
France,2014,16.65298207364988,66312.1,40144.0,42.6
France,2015,16.63925573860026,66548.3,40850.0,42.5
France,2016,16.6408325589408,66724.1,42924.6,42.7
France,2017,16.64263703714861,66918.0,44577.1,43.1
France,2018,16.63718330754719,67158.3,46537.5,43.3
France,2019,16.63237223880752,67388.0,48971.1,43.7
Germany,1995,14.51826866333242,81678.1,23552.3,46.6
Germany,1996,14.52514839265876,81914.8,24071.9,46.5
Germany,1997,14.54918242623086,82034.8,24572.7,46.4
Germany,1998,14.57353597162922,82047.2,25345.1,46.9
Germany,1999,14.59357172187816,82100.2,26291.2,47.6
Germany,2000,14.601952168888449,82211.5,27199.0,48.6
Germany,2001,14.63212843183392,82349.9,28368.5,48.4
Germany,2002,14.7045664281976,82488.5,29178.6,48.1
Germany,2003,14.78830604247641,82534.2,29908.1,47.5
Germany,2004,14.86430996672287,82516.3,31333.8,47.7
Germany,2005,14.898833711205553,82469.4,31794.1,47.7
Germany,2006,14.93020922843274,82376.5,34160.3,48.1
Germany,2007,14.994970229770011,82266.4,36287.5,49.0
Germany,2008,15.07612921094402,82110.1,37802.4,49.7
