,GDP,Population,Employment,Year
10,28304.6,19028.8,47.3,2000
520,29617.5,10732.9,43.3,2018
420,40083.7,5313.4,48.5,2008
1012,27262.0,10573.1,46.1,2010
487,47609.8,81686.6,52.8,2015
892,45043.9,16615.4,52.8,2010
262,6070.0,3170.5,33.8,1992
471,26291.2,82100.2,47.6,1999
502,19516.2,10805.8,39.9,2000
36,24553.9,7959.0,45.2,1996
67,23732.3,10181.2,38.4,1997
695,34366.3,8215.7,46.8,2014
900,57826.6,17231.6,54.6,2018
1275,25855.8,78218.5,34.0,2015
576,49201.1,330.8,54.6,2015
150,29362.1,30685.7,49.1,2000
953,62076.7,4953.1,52.3,2011
648,22636.4,3674.2,38.9,1997
1292,29064.5,59365.7,47.1,2002
709,25021.1,56906.7,39.3,1998
1186,37286.2,46484.1,40.6,2016
865,17428.6,118453.9,30.9,2013
1031,8990.3,21451.7,42.8,2004
467,23552.3,81678.1,46.6,1995
1070,28821.2,146830.6,48.7,2018
832,90361.8,507.0,70.8,2010
547,27947.6,9814.0,45.6,2016
1167,17912.8,40057.4,36.4,1997
1270,17346.7,73142.2,30.9,2010
1077,10086.1,5383.3,39.5,1997
667,71498.6,4755.3,43.9,2016
788,6383.7,3601.6,41.6,1996
573,42004.4,320.7,52.2,2012
1089,23080.6,5386.4,40.9,2009
770,11061.2,2288.0,41.9,2003
687,25700.9,7053.7,42.6,2006
760,42438.7,126166.9,54.4,2019
473,28368.5,82349.9,48.4,2001
7,24442.2,18423.0,46.0,1997
738,25597.9,126166.0,53.7,1997
329,20932.1,10197.1,47.4,2004
541,21751.8,10000.0,39.5,2010
712,28033.7,56974.1,41.2,2001
190,18160.3,17063.9,41.8,2010
373,57483.0,5793.6,51.1,2018
937,24347.8,4359.2,48.4,1995
821,49845.3,430.5,58.3,1999
1217,51948.0,10057.7,49.9,2017
653,35222.1,3931.9,45.2,2002
481,36815.8,81902.3,49.9,2009
694,34324.6,8059.5,46.4,2013
1308,47591.2,66435.6,48.8,2018
505,23896.6,10928.1,41.1,2003
2,19136.1,17478.6,43.6,1992
430,49580.6,5515.5,47.6,2018
795,12067.7,3415.2,41.8,2003
787,5927.4,3629.1,40.9,1995
442,26155.2,60762.2,43.3,2000
332,26282.4,10298.8,49.5,2007
809,33761.6,2828.4,48.2,2017
1243,62225.1,8089.3,58.5,2013
863,16567.2,115367.5,30.7,2011
518,27511.8,10776.0,41.5,2016
715,29554.7,57685.3,42.3,2004
486,47011.6,80982.5,52.8,2014
719,35523.3,58826.7,43.1,2008
819,42485.1,419.5,54.8,1997
686,24853.7,6930.1,42.2,2005
1333,53291.1,316059.9,46.3,2013
549,31913.1,9775.6,47.7,2018
886,35809.8,16281.8,50.9,2004
984,23745.7,38063.2,40.7,2012
988,28322.1,37970.1,42.4,2016
388,19345.3,1346.8,47.0,2006
1235,41749.3,7437.1,55.7,2005
148,26319.7,30155.2,47.6,1998
322,14824.7,10304.1,49.5,1997
435,19231.3,58995.1,40.5,1993
895,49241.5,16804.4,52.0,2013
1249,72033.9,8575.3,59.5,2019
655,38733.4,4070.3,46.0,2004
771,12278.9,2263.1,42.4,2004
277,12279.4,4340.4,43.1,2007
755,39567.5,127237.2,51.4,2014
841,117341.9,620.0,74.8,2019
794,10480.5,3443.1,40.5,2002
982,21072.5,38042.8,40.4,2010
967,7681.2,38595.0,38.3,1995
1116,25720.4,2006.9,47.1,2006
457,40850.0,66548.3,42.5,2015
1021,36172.1,10286.3,48.1,2019
1039,18869.6,20058.0,43.1,2012
477,31794.1,82469.4,47.7,2005
346,19063.7,5154.3,50.6,1991
1293,30360.8,59636.7,47.3,2003
754,39411.6,127413.9,51.1,2013
1214,47184.7,9696.1,48.9,2014
1210,42223.9,9378.1,47.9,2010
159,38865.4,33628.9,50.5,2009
1248,71660.2,8514.3,59.5,2018
355,28658.1,5339.6,51.6,2000
1291,27810.3,59113.0,46.9,2001
1204,33858.6,8993.5,48.2,2004
81,40942.4,11038.3,41.2,2011
275,10296.9,4215.2,40.9,2005
899,55088.6,17131.3,53.5,2017
765,7068.6,2410.0,40.4,1998
279,12704.3,4469.3,41.6,2009
338,30818.1,10514.3,48.3,2013
35,23684.7,7948.3,45.1,1995
785,30877.0,1927.2,46.6,2018
367,44804.0,5591.6,49.5,2012
497,15424.5,10562.2,39.4,1995
1082,13312.4,5376.9,37.9,2002
969,8936.6,38649.7,39.3,1997
830,90970.7,488.7,71.4,2008
284,16607.4,4773.1,42.3,2014
347,19814.1,5171.4,50.0,1992
6,23268.4,18224.8,45.7,1996
882,31870.8,15925.5,51.5,2000
650,27041.5,3754.8,43.2,1999
85,46200.9,11274.2,41.0,2015
942,36936.5,4491.0,51.5,2000
517,26760.4,10820.9,39.9,2015
1326,46302.0,298379.9,49.2,2006
289,22585.7,5058.0,42.2,2019
410,23576.9,5153.5,42.8,1998
396,28945.5,1314.5,46.4,2014
885,34149.6,16225.3,51.6,2003
1205,34244.5,9029.6,48.1,2005
276,11211.7,4278.7,41.4,2006
1106,14304.0,1988.6,45.5,1996
513,25671.5,11104.9,40.6,2011
359,32938.7,5404.5,50.8,2004
48,41316.2,8321.5,49.1,2008
847,8468.8,91843.9,28.9,1995
197,24538.8,18419.2,44.9,2017
708,23875.8,56890.4,38.9,1997
68,24368.9,10203.0,38.9,1998
926,37293.4,4516.5,51.6,2014
540,20729.8,10022.7,39.7,2009
789,7069.3,3575.1,42.1,1997
24,47603.9,23475.7,50.2,2014
999,15788.7,10109.0,46.7,1997
716,30130.6,57969.5,42.3,2005
722,36598.0,59379.4,41.8,2011
58,56960.1,8840.5,50.8,2018
689,27510.1,7308.8,44.4,2008
1230,36772.7,7184.3,56.0,2000
1079,10714.3,5396.0,38.3,1999
440,23413.7,60046.7,41.8,1998
1026,5596.5,22472.0,48.3,1999
941,30555.0,4461.9,51.6,1999
1037,16976.3,20246.9,43.1,2010
545,25699.8,9866.5,42.8,2014
18,40105.1,21249.2,50.8,2008
1269,15442.6,72039.2,29.5,2009
532,13207.9,10187.6,40.5,2001
152,30963.1,31360.1,49.7,2002
73,30932.8,10376.1,40.2,2003
448,32562.7,63437.4,43.2,2006
461,48971.1,67388.0,43.7,2019
570,41864.2,318.5,51.7,2009
1329,47194.9,306771.5,46.3,2009
12,30800.4,19495.2,48.1,2002
356,29437.3,5358.8,51.9,2001
661,43203.1,4560.2,41.4,2010
1080,11376.5,5388.7,37.6,2000
399,33821.9,1317.4,48.5,2017
854,11208.5,101494.0,31.1,2002
957,60368.9,5188.6,52.2,2015
973,11119.7,38248.1,37.1,2001
823,56125.5,441.5,63.2,2001
820,44267.4,424.7,56.5,1998
960,69808.3,5311.9,52.6,2018
350,22684.3,5233.4,49.9,1995
928,39933.6,4714.1,53.4,2016
729,43036.2,60421.8,42.0,2018
698,39121.4,8713.3,47.3,2017
337,29254.7,10510.8,48.2,2012
424,40873.1,5414.0,47.2,2012
1099,31966.6,5454.1,44.8,2019
1195,23094.1,8826.9,46.8,1995
86,48597.4,11331.4,41.3,2016
257,14061.6,49291.6,45.4,2017
802,20096.9,3097.3,40.3,2010
783,26721.7,1959.5,45.2,2016
193,22387.8,17611.9,44.2,2013
258,14991.8,49834.2,45.1,2018
737,24979.3,125864.0,53.5,1996
161,41666.7,34339.3,51.2,2011
1199,27471.6,8857.9,47.4,1999
158,40376.3,33247.1,52.0,2008
526,9187.4,10329.0,38.2,1995
1328,48570.0,304094.0,48.6,2008
1231,37896.7,7229.9,56.6,2001
1242,59933.6,7996.9,58.5,2012
840,116965.6,608.0,73.7,2018
848,9064.8,93294.8,30.0,1996
163,44298.6,35083.0,51.3,2013
11,29561.4,19274.7,47.4,2001
1338,62805.3,326838.2,48.3,2018
50,42009.4,8363.4,49.0,2010
49,40918.1,8343.3,48.8,2009
515,25986.7,10965.2,39.2,2013
341,36097.7,10566.3,49.8,2016
1184,33525.7,46480.9,38.7,2014
834,96636.4,530.9,71.3,2012
1081,12386.2,5378.9,37.9,2001
1273,22373.2,76147.6,33.5,2013
352,24928.4,5285.0,50.6,1997
888,41013.8,16346.1,52.1,2006
1189,41695.1,47134.8,43.2,2019
898,52288.4,17030.3,52.5,2016
351,23734.8,5263.1,50.1,1996
1029,7162.3,21730.5,44.1,2002
1071,29967.1,146764.7,48.4,2019
1076,9404.9,5373.4,40.0,1996
656,40466.3,4159.9,47.2,2005
433,18359.4,58459.1,41.6,1991
725,36194.9,60789.1,40.1,2014
521,30356.3,10721.6,43.8,2019
1075,8693.1,5362.0,39.3,1995
15,35642.3,20176.8,50.0,2005
3,20162.4,17634.8,44.6,1993
991,33797.8,37965.5,43.2,2019
432,17661.6,58171.4,41.7,1990
743,28625.8,127435.0,50.7,2002
766,7406.3,2390.5,40.0,1999
1172,24371.6,41431.6,42.7,2002
666,69028.8,4702.0,42.9,2015
398,31312.8,1315.8,47.9,2016
822,55117.2,436.3,60.5,2000
744,29415.0,127619.0,50.7,2003
707,23052.6,56860.3,38.8,1996
510,30856.0,11077.8,43.8,2008
827,68787.9,465.2,66.1,2005
9,27121.3,18812.3,47.1,1999
425,41493.1,5439.0,46.6,2013
22,43883.5,22733.5,50.5,2012
546,26806.6,9843.0,43.8,2015
397,29175.9,1315.4,47.0,2015
929,42218.5,4813.6,54.1,2017
1171,22949.2,40850.4,42.2,2001
1323,39490.3,290107.9,48.3,2003
825,60195.9,451.6,64.8,2003
530,10873.2,10237.5,40.0,1999
1113,21112.1,1995.7,46.7,2003
811,38540.8,2794.1,49.7,2019
379,7979.4,1399.5,44.0,1997
413,27795.7,5188.0,45.0,2001
162,42291.0,34714.2,51.2,2012
831,86875.9,497.8,70.8,2009
728,41581.1,60536.7,41.5,2017
1016,28742.4,10401.1,43.4,2014
460,46537.5,67158.3,43.3,2018
358,30820.4,5390.6,51.2,2003
1201,29927.6,8896.0,49.4,2001
717,32453.6,58144.0,43.0,2006
1094,28929.5,5418.6,41.0,2014
327,18252.6,10196.9,47.8,2002
87,50442.3,11375.2,41.7,2017
1309,49070.5,66796.8,49.1,2019
850,10170.2,96117.0,31.9,1998
453,37564.2,65127.9,42.8,2011
80,39840.1,10895.6,41.2,2010
864,17212.6,116935.7,31.1,2012
362,39006.2,5461.4,53.3,2007
447,30584.8,63001.3,43.0,2005
1001,17718.1,10217.8,48.3,1999
855,11509.6,102890.5,30.6,2003
412,26784.7,5176.2,44.4,2000
157,39575.3,32889.0,51.8,2007
1194,21877.8,8780.7,46.3,1994
261,5553.9,3101.5,33.2,1991
269,7980.5,3786.8,37.3,1999
1096,29645.7,5430.8,42.7,2016
470,25345.1,82047.2,46.9,1998
414,28605.1,5200.6,45.5,2002
0,17824.9,17065.1,45.1,1990
1330,48650.6,309327.1,45.7,2010
925,36242.6,4442.1,50.6,2013
1285,20615.4,58024.8,44.5,1995
668,77749.2,4807.4,44.7,2017
828,78878.5,472.6,67.6,2006
270,8285.6,3872.3,37.3,2000
454,37806.5,65438.7,42.7,2012
1030,7560.0,21574.3,44.4,2003
260,5232.5,3029.3,34.1,1990
404,17261.2,5042.0,43.2,1992
1215,49103.1,9799.2,49.1,2015
989,30064.5,37974.8,43.0,2017
69,25440.9,10226.4,39.4,1999
1183,32434.0,46620.0,38.2,2013
450,35202.6,64178.7,43.5,2008
504,22616.0,10902.0,40.7,2002
954,65354.8,5018.6,52.6,2012
288,21302.2,5003.4,41.6,2018
1069,25926.4,146842.4,48.9,2017
896,49233.2,16865.0,51.7,2014
1218,53521.6,10175.2,50.1,2018
1180,31682.7,46576.9,41.9,2010
577,53480.4,335.4,56.3,2016
444,28598.5,61644.1,43.6,2002
952,57919.7,4889.3,52.2,2010
488,50579.7,82348.7,53.0,2016
706,22382.9,56844.3,38.5,1995
491,55652.9,83093.0,54.5,2019
544,24556.7,9893.1,40.8,2013
53,47922.0,8479.8,49.8,2013
539,20727.9,10038.2,40.4,2008
579,57211.3,352.7,57.4,2018
767,8038.9,2367.6,39.0,2000
881,29268.5,15812.1,50.9,1999
437,20809.8,59418.7,40.9,1995
369,47901.4,5643.5,49.5,2014
1339,65094.8,328330.0,48.6,2019
1114,22760.8,1997.0,46.8,2004
196,23491.7,18167.1,44.7,2016
1305,42917.0,65110.0,48.0,2015
71,28788.1,10286.6,40.5,2001
1025,5544.4,22507.3,48.8,1998
439,22293.6,59830.6,41.2,1997
868,19421.0,122715.2,31.2,2016
169,49299.2,37601.2,51.7,2019
726,36899.4,60730.6,40.4,2015
778,19248.4,2059.7,41.6,2011
935,21572.4,4312.0,47.3,1993
1208,42158.3,9219.6,49.4,2008
1200,29618.3,8872.1,48.5,2000
343,41135.5,10629.9,51.0,2018
353,25814.1,5304.2,51.1,1998
485,44993.9,80645.6,52.5,2013
531,11853.2,10211.0,40.3,2000
1297,35697.3,61319.1,47.9,2007
323,14977.7,10294.4,48.6,1998
268,7751.9,3699.9,37.7,1998
1042,21605.7,19815.6,43.0,2015
57,54173.0,8797.6,50.2,2017
543,23275.2,9920.4,40.2,2012
1237,51208.1,7551.1,57.5,2007
286,19109.9,4890.4,39.9,2016
757,40642.8,126932.8,52.1,2016
677,20807.4,5685.1,42.1,1996
1276,26695.9,79278.0,34.3,2016
506,25460.5,10955.1,42.0,2004
19,41636.6,21691.7,50.5,2009
1213,46312.4,9600.4,48.7,2013
1046,31867.2,19371.6,44.6,2019
1087,21222.4,5374.6,40.5,2007
685,25238.9,6809.0,41.5,2004
1228,33905.2,7110.0,55.6,1998
45,35013.7,8227.8,47.1,2005
349,21678.1,5206.2,49.9,1994
421,37972.3,5338.9,47.0,2009
1110,18001.1,1988.9,46.0,2000
930,42520.8,4900.6,54.3,2018
1013,26769.5,10557.6,45.2,2011
1169,19954.3,40386.9,39.4,1999
328,19538.1,10194.0,47.5,2003
468,24071.9,81914.8,46.5,1996
837,107859.7,569.6,71.1,2015
17,39658.3,20827.6,51.3,2007
271,8580.3,3953.4,38.6,2001
508,28549.2,11020.4,42.9,2006
431,50321.5,5521.6,48.4,2019
897,50288.6,16939.9,52.0,2015
1295,32740.8,60413.3,47.8,2005
364,40331.4,5523.1,51.7,2009
259,15662.2,50374.5,44.2,2019
853,11157.5,100105.3,32.0,2001
354,26653.8,5321.8,51.4,1999
482,38952.7,81776.9,50.2,2010
1018,31607.8,10325.5,45.0,2016
972,10672.1,38258.6,37.9,2000
1091,26145.9,5398.4,40.9,2011
944,37980.4,4538.2,51.1,2002
1245,66020.2,8282.4,59.2,2015
805,26721.9,2957.7,43.8,2013
1324,41724.6,292805.3,48.3,2004
52,46457.3,8430.0,49.9,2012
1216,50430.3,9923.1,49.3,2016
331,23923.7,10238.9,48.7,2006
1004,20356.6,10419.6,49.4,2002
345,18233.9,5140.9,51.2,1990
16,37893.9,20451.0,50.9,2006
799,19094.5,3231.3,44.8,2007
55,49865.9,8642.7,49.6,2015
1322,37997.8,287625.2,48.3,2002
1119,27537.8,2039.7,48.2,2009
803,22884.7,3028.1,41.4,2011
945,38593.7,4564.9,50.1,2003
768,9044.6,2337.2,40.2,2001
459,44577.1,66918.0,43.1,2017
894,47272.1,16755.0,52.7,2012
401,37850.1,1326.9,48.8,2019
26,50150.6,24190.9,50.7,2016
1038,17896.3,20147.5,42.3,2011
720,34602.9,59095.4,42.2,2009
1277,28193.2,80312.7,35.1,2017
572,40936.9,319.0,51.5,2011
405,17468.7,5066.4,40.5,1993
44,33773.8,8172.0,46.8,2004
1296,34856.9,60827.1,47.9,2006
647,20475.6,3637.5,37.8,1996
756,40913.7,127094.7,51.6,2015
1298,36853.6,61823.8,47.9,2008
1128,38961.5,2073.9,49.2,2018
985,24567.5,38040.2,40.7,2013
368,46726.9,5614.9,49.3,2013
1165,16279.1,39724.1,34.9,1995
1232,38814.4,7284.8,56.5,2002
791,7821.0,3524.2,41.5,1999
1300,36580.6,62759.5,46.6,2010
1294,32078.5,59950.4,47.6,2004
880,27709.0,15707.2,49.8,1998
1299,35221.3,62260.5,46.8,2009
336,29001.4,10496.1,48.1,2011
959,64050.8,5277.0,52.1,2017
326,17621.1,10216.6,47.4,2001
940,28186.4,4431.5,51.5,1998
958,58939.9,5234.5,51.9,2016
1014,26438.0,10514.8,43.6,2012
255,12947.6,48203.4,45.7,2015
402,18136.4,4986.4,49.5,1990
946,42549.9,4591.9,49.9,2004
192,21454.5,17443.5,43.7,2012
699,39906.3,8882.8,47.2,2018
697,37843.2,8546.0,47.1,2016
887,37625.6,16319.9,51.1,2005
263,6515.9,3239.9,35.0,1993
65,22434.7,10136.8,38.2,1995
325,16235.5,10255.1,47.4,2000
681,24950.4,6289.2,43.0,2000
1272,20627.5,75175.8,33.0,2012
383,10314.2,1388.1,42.3,2001
1122,29042.8,2057.2,45.6,2012
1278,28281.4,81407.2,35.3,2018
8,25671.6,18607.6,46.3,1998
1123,29973.7,2060.0,45.0,2013
43,32144.2,8121.4,46.8,2003
739,25492.6,126486.0,53.0,1998
429,47570.1,5508.2,46.5,2017
484,43359.6,80425.8,52.2,2012
1006,21477.8,10483.9,48.3,2004
867,18378.5,121347.8,31.1,2015
947,47797.5,4623.3,50.2,2005
1023,5743.9,22619.0,49.7,1996
979,16802.8,38120.6,39.8,2007
438,21399.0,59624.3,41.0,1996
934,20612.2,4286.4,47.2,1992
478,34160.3,82376.5,48.1,2006
692,30636.2,7765.8,45.1,2011
324,15396.3,10283.9,47.6,1999
1044,27142.0,19588.7,44.1,2017
1198,25887.8,8851.0,46.5,1998
846,8996.9,90362.7,30.7,1994
776,17023.8,2141.7,42.2,2009
321,14685.7,10315.2,49.8,1996
320,13852.1,10327.3,49.4,1995
980,18303.4,38125.8,41.3,2008
1240,54858.4,7824.9,57.3,2010
1000,16687.0,10160.2,47.8,1998
538,19099.9,10055.8,41.0,2007
750,33551.3,128031.5,51.3,2009
511,30359.1,11107.0,43.5,2009
360,34150.2,5419.4,51.4,2005
267,7343.3,3611.2,36.3,1997
1129,40670.9,2088.4,50.1,2019
932,18451.2,4241.5,48.3,1990
287,20357.2,4947.5,40.6,2017
1289,24462.7,58684.4,46.3,1999
371,51976.0,5728.0,50.2,2016
933,19570.1,4261.7,47.6,1991
455,39660.5,65771.3,42.6,2013
474,29178.6,82488.5,48.1,2002
678,21454.1,5828.9,42.1,1997
266,7015.1,3520.9,34.5,1996
357,30640.3,5375.9,51.8,2002
378,6889.9,1415.6,44.1,1996
721,35158.4,59277.4,41.8,2010
422,38956.5,5363.4,46.5,2010
693,31846.3,7910.5,46.1,2012
1197,24805.8,8846.1,45.7,1997
273,9253.4,4086.4,39.1,2003
961,66799.2,5347.9,53.0,2019
680,22594.4,6125.3,42.5,1999
1040,19782.0,19983.7,42.9,2013
1028,6518.7,22132.0,48.2,2001
1219,54598.8,10278.9,49.9,2019
395,27464.5,1318.0,45.5,2013
970,9487.8,38663.5,39.7,1998
1226,31534.1,7071.9,55.2,1996
1011,26458.9,10568.2,46.8,2009
1229,34818.0,7144.0,55.8,1999
948,54160.5,4660.7,51.4,2006
1117,27570.1,2018.1,48.4,2007
1019,33044.7,10300.3,46.6,2017
659,44169.1,4489.5,47.4,2008
1302,38511.1,63705.0,46.6,2012
797,14510.6,3322.5,42.8,2005
443,27560.0,61201.7,43.7,2001
1118,29604.3,2021.3,49.5,2008
724,36314.7,60233.9,40.4,2013
784,28673.6,1942.2,45.6,2017
256,13649.8,48747.7,45.5,2016
408,20082.3,5124.6,40.9,1996
1179,32092.4,46362.9,42.8,2009
931,45554.8,4979.2,54.9,2019
1005,20851.1,10458.8,48.8,2003
646,18934.4,3608.8,36.8,1995
1321,37133.6,284969.0,48.9,2001
1121,28931.4,2052.8,46.1,2011
409,21794.5,5139.8,42.1,1997
1041,20657.7,19909.0,43.4,2014
1010,26665.8,10558.2,48.1,2008
503,20954.8,10862.1,39.8,2001
977,13896.8,38165.4,36.8,2005
688,27513.1,7180.1,43.6,2007
1303,40232.9,64105.7,46.9,2013
548,29501.1,9788.0,46.6,2017
434,18985.2,58745.4,41.1,1992
951,55364.2,4828.7,53.0,2009
956,65892.7,5137.2,52.6,2014
458,42924.6,66724.1,42.7,2016
649,25092.6,3712.7,41.1,1998
657,44226.7,4274.1,48.0,2006
400,36249.4,1322.0,49.1,2018
1279,27144.1,82579.4,34.0,2019
1095,29964.9,5423.8,41.8,2015
759,42239.0,126443.2,53.8,2018
537,18389.4,10071.4,41.3,2006
793,9436.0,3470.8,38.8,2001
968,8275.8,38624.4,38.7,1996
1327,48050.2,301231.2,49.2,2007
1274,24105.0,77181.9,33.6,2014
1212,45432.4,9519.4,48.6,2012
943,37764.3,4513.8,51.3,2001
1166,16975.1,39889.9,35.2,1996
974,11804.3,38230.4,36.0,2002
1124,30870.0,2062.0,45.2,2014
852,11102.4,98785.3,32.8,2000
1288,23688.5,58474.9,45.8,1998
878,24508.8,15530.5,47.8,1996
154,33925.7,31940.7,50.7,2004
418,34455.1,5266.3,46.8,2006
1032,9602.1,21319.7,43.0,2005
333,27974.5,10384.6,50.1,2008
817,38324.2,408.6,53.1,1995
42,31178.7,8082.0,46.8,2002
833,94475.0,518.3,71.3,2011
344,42847.0,10671.9,50.9,2019
983,22827.7,38063.3,40.6,2011
1307,46385.5,66040.2,48.5,2017
1125,31628.2,2063.5,45.7,2015
1271,19591.0,74223.6,32.5,2011
1092,26888.3,5407.6,40.9,2012
164,45753.8,35437.4,51.1,2014
859,14353.2,108744.8,31.8,2007
416,31201.7,5228.2,45.6,2004
870,20234.5,125327.8,31.4,2018
1024,5564.1,22554.0,50.2,1997
747,33622.4,127900.5,51.6,2006
849,9704.2,94720.5,30.9,1997
1185,34903.1,46444.8,39.8,2015
382,9421.8,1397.0,41.9,2000
665,51098.3,4657.7,41.9,2014
670,87379.7,4934.3,46.1,2019
1126,33936.0,2065.0,46.5,2016
393,24557.2,1327.4,43.3,2011
4,21397.6,17805.5,45.9,1994
971,10040.9,38660.3,38.4,1999
1206,37730.2,9080.5,48.7,2006
936,23015.5,4336.6,47.7,1994
1097,30061.6,5439.2,43.6,2017
839,114985.8,596.3,72.5,2017
1084,15226.3,5372.3,38.3,2004
1017,29660.9,10358.1,44.2,2015
167,48317.2,36545.2,51.5,2017
1086,18914.0,5373.1,39.7,2006
869,19838.2,124041.7,31.2,2017
684,23845.3,6689.7,41.7,2003
790,7762.5,3549.3,42.1,1998
54,48799.7,8546.4,49.8,2014
39,27606.5,7992.3,46.5,1999
374,58701.0,5814.4,51.6,2019
278,12922.5,4404.1,43.0,2008
27,50699.3,24601.9,51.1,2017
1187,39528.9,46593.2,41.6,2017
406,18469.0,5088.3,39.6,1994
777,17706.9,2097.6,40.2,2010
651,30205.6,3805.2,44.6,2000
469,24572.7,82034.8,46.4,1997
696,35469.7,8380.1,46.9,2015
1008,24682.7,10522.3,48.1,2006
664,47830.6,4623.8,41.0,2013
893,46599.0,16693.1,53.0,2011
786,31883.3,1913.8,46.9,2019
282,14846.7,4652.5,42.0,2012
74,32063.1,10421.1,40.4,2004
758,41531.2,126706.2,52.7,2017
976,13353.7,38182.2,36.0,2004
272,8853.1,4022.4,38.5,2002
1306,44610.5,65648.1,48.4,2016
808,30925.3,2868.2,47.8,2016
76,35259.2,10548.0,41.0,2006
14,33962.0,19932.7,49.4,2004
330,22095.4,10211.2,48.2,2005
47,39430.6,8295.5,48.4,2007
780,22639.1,2012.6,44.2,2013
652,32567.2,3866.2,45.2,2001
361,37334.4,5437.3,52.3,2006
1127,36507.6,2066.4,47.9,2017
392,21619.5,1331.5,42.8,2010
1193,20757.4,8718.6,47.0,1993
59,58076.3,8879.9,51.1,2019
527,9349.7,10311.2,38.2,1996
1112,20241.9,1994.5,46.9,2002
1078,10622.9,5390.5,39.3,1998
1083,14181.0,5373.4,38.3,2003
476,31333.8,82516.3,47.7,2004
1035,16782.3,20537.9,45.6,2008
427,42497.7,5479.5,46.1,2015
1085,16639.5,5372.8,38.9,2005
748,35007.3,128032.7,51.9,2007
742,27911.2,127291.0,51.4,2001
1336,57866.7,323071.8,47.5,2016
445,28248.4,62078.2,43.3,2003
377,6477.1,1436.6,44.7,1995
335,27882.0,10474.4,48.3,2010
851,10449.1,97482.6,32.2,1999
1088,23725.9,5379.2,41.8,2008
679,22069.4,5970.7,42.2,1998
1036,16631.9,20367.5,44.3,2009
764,6487.5,2432.9,40.2,1997
1170,21584.3,40567.9,41.2,2000
194,22749.9,17787.6,44.4,2014
861,14595.5,112095.4,30.4,2009
662,45080.2,4580.1,40.4,2011
1,18165.3,17284.0,44.2,1991
1246,68105.2,8373.3,59.3,2016
857,12697.9,105669.4,31.0,2005
149,27841.4,30401.3,48.4,1999
381,8412.2,1390.2,42.5,1999
41,29702.8,8042.3,47.0,2001
1174,26143.6,42921.9,44.0,2004
796,13030.6,3377.1,41.8,2004
710,25602.4,56916.3,39.7,1999
741,27269.5,126925.8,51.7,2000
574,44409.7,323.8,52.9,2013
160,40099.4,34004.9,50.9,2010
529,10398.1,10266.6,39.1,1998
860,14980.2,110405.5,31.8,2008
535,16272.0,10107.1,41.1,2004
1175,27606.9,43653.2,45.1,2005
417,32051.8,5246.1,46.1,2005
13,32352.9,19720.7,48.3,2003
501,18464.8,10761.7,39.9,1999
901,59004.3,17344.9,55.3,2019
660,41471.1,4535.4,43.3,2009
449,34223.0,63826.1,43.6,2007
340,33899.3,10546.1,49.1,2015
1247,69103.6,8451.8,59.3,2017
1332,51784.4,313877.7,46.1,2012
975,12288.5,38204.6,35.6,2003
1225,30851.8,7040.7,55.6,1995
772,13913.5,2238.8,43.3,2005
1320,36330.0,282162.4,49.3,2000
792,8445.6,3499.5,40.0,2000
1238,54096.8,7647.7,58.2,2008
419,37838.3,5288.7,47.6,2007
862,15301.2,113748.7,30.4,2010
858,13865.1,107155.4,31.6,2006
1020,34928.5,10283.8,47.8,2018
363,41278.3,5493.6,53.6,2008
1181,31868.0,46742.7,40.7,2011
1033,11556.6,21193.8,44.1,2006
763,5807.1,2457.2,38.1,1996
1015,27936.0,10457.3,42.6,2013
798,16483.7,3269.9,43.3,2006
70,27784.5,10251.3,40.1,2000
762,5514.2,2485.1,37.4,1995
856,12119.1,104272.4,31.1,2004
1286,21969.9,58164.4,44.8,1996
1111,18948.5,1992.1,46.2,2001
428,44934.4,5495.3,46.1,2016
21,44429.5,22340.0,51.0,2011
499,17155.9,10661.3,38.6,1997
746,32171.1,127768.0,51.3,2005
334,27761.5,10443.9,48.9,2009
452,36018.5,64818.8,42.7,2010
365,43003.1,5547.7,50.3,2010
658,46773.5,4398.9,48.7,2007
1207,40905.1,9148.1,49.5,2007
691,28840.2,7623.6,44.7,2010
779,21290.5,2034.3,42.7,2012
533,14526.4,10158.6,40.5,2002
1168,19096.6,40223.5,37.8,1998
489,53071.5,82657.0,53.5,2017
990,31953.0,37974.8,43.2,2018
274,9758.4,4151.8,38.9,2004
997,14399.0,10026.2,45.2,1995
1301,37363.7,63285.1,46.4,2011
168,49992.8,37065.1,51.4,2018
580,58290.1,360.6,56.1,2019
156,38119.4,32571.2,51.2,2006
745,30848.5,127687.0,50.9,2004
516,26625.1,10892.4,40.9,2014
390,22802.3,1337.1,46.4,2008
753,37616.7,127592.7,50.9,2012
265,6991.9,3428.3,35.7,1995
938,26818.3,4381.3,49.2,1996
20,42810.0,22031.8,50.8,2010
1034,13700.1,20883.0,45.4,2007
83,43671.1,11159.4,40.9,2013
195,22695.9,17971.4,44.7,2015
446,29140.5,62532.6,43.0,2004
1290,26475.1,58886.1,46.7,2000
718,34141.2,58438.3,43.3,2007
191,20318.3,17254.2,43.4,2011
